sample_id,cell_id,cell_name,nwb_file_name
20171204_sample_2,GTOKH-2,sub-mouse-GTOKH_ses-20171204-sample-2_slice-20171204-slice-2_cell-20171204-sample-2_icephys,sub-mouse-GTOKH_ses-20171204-sample-2_slice-20171204-slice-2_cell-20171204-sample-2_icephys.nwb
20171204_sample_4,GTOKH-4,sub-mouse-GTOKH_ses-20171204-sample-4_slice-20171204-slice-4_cell-20171204-sample-4_icephys,sub-mouse-GTOKH_ses-20171204-sample-4_slice-20171204-slice-4_cell-20171204-sample-4_icephys.nwb
20171204_sample_5,GTOKH-5,sub-mouse-GTOKH_ses-20171204-sample-5_slice-20171204-slice-5_cell-20171204-sample-5_icephys,sub-mouse-GTOKH_ses-20171204-sample-5_slice-20171204-slice-5_cell-20171204-sample-5_icephys.nwb
20171204_sample_6,GTOKH-6,sub-mouse-GTOKH_ses-20171204-sample-6_slice-20171204-slice-6_cell-20171204-sample-6_icephys,sub-mouse-GTOKH_ses-20171204-sample-6_slice-20171204-slice-6_cell-20171204-sample-6_icephys.nwb
20171207_sample_1,UGZSW-1,sub-mouse-UGZSW_ses-20171207-sample-1_slice-20171207-slice-1_cell-20171207-sample-1_icephys,sub-mouse-UGZSW_ses-20171207-sample-1_slice-20171207-slice-1_cell-20171207-sample-1_icephys.nwb
20171207_sample_2,UGZSW-2,sub-mouse-UGZSW_ses-20171207-sample-2_slice-20171207-slice-2_cell-20171207-sample-2_icephys,sub-mouse-UGZSW_ses-20171207-sample-2_slice-20171207-slice-2_cell-20171207-sample-2_icephys.nwb
20171207_sample_6,UGZSW-6,sub-mouse-UGZSW_ses-20171207-sample-6_slice-20171207-slice-6_cell-20171207-sample-6_icephys,sub-mouse-UGZSW_ses-20171207-sample-6_slice-20171207-slice-6_cell-20171207-sample-6_icephys.nwb
20171207_sample_7,UGZSW-7,sub-mouse-UGZSW_ses-20171207-sample-7_slice-20171207-slice-7_cell-20171207-sample-7_icephys,sub-mouse-UGZSW_ses-20171207-sample-7_slice-20171207-slice-7_cell-20171207-sample-7_icephys.nwb
20171219_sample_1,KKXUD-1,sub-mouse-KKXUD_ses-20171219-sample-1_slice-20171219-slice-1_cell-20171219-sample-1_icephys,sub-mouse-KKXUD_ses-20171219-sample-1_slice-20171219-slice-1_cell-20171219-sample-1_icephys.nwb
20171219_sample_2,KKXUD-2,sub-mouse-KKXUD_ses-20171219-sample-2_slice-20171219-slice-2_cell-20171219-sample-2_icephys,sub-mouse-KKXUD_ses-20171219-sample-2_slice-20171219-slice-2_cell-20171219-sample-2_icephys.nwb
20171219_sample_3,KKXUD-3,sub-mouse-KKXUD_ses-20171219-sample-3_slice-20171219-slice-3_cell-20171219-sample-3_icephys,sub-mouse-KKXUD_ses-20171219-sample-3_slice-20171219-slice-3_cell-20171219-sample-3_icephys.nwb
20171219_sample_4,KKXUD-4,sub-mouse-KKXUD_ses-20171219-sample-4_slice-20171219-slice-4_cell-20171219-sample-4_icephys,sub-mouse-KKXUD_ses-20171219-sample-4_slice-20171219-slice-4_cell-20171219-sample-4_icephys.nwb
20171219_sample_6,KKXUD-6,sub-mouse-KKXUD_ses-20171219-sample-6_slice-20171219-slice-6_cell-20171219-sample-6_icephys,sub-mouse-KKXUD_ses-20171219-sample-6_slice-20171219-slice-6_cell-20171219-sample-6_icephys.nwb
20171219_sample_7,KKXUD-7,sub-mouse-KKXUD_ses-20171219-sample-7_slice-20171219-slice-7_cell-20171219-sample-7_icephys,sub-mouse-KKXUD_ses-20171219-sample-7_slice-20171219-slice-7_cell-20171219-sample-7_icephys.nwb
20171219_sample_8,KKXUD-8,sub-mouse-KKXUD_ses-20171219-sample-8_slice-20171219-slice-8_cell-20171219-sample-8_icephys,sub-mouse-KKXUD_ses-20171219-sample-8_slice-20171219-slice-8_cell-20171219-sample-8_icephys.nwb
20180102_sample_1,HXCVU-1,sub-mouse-HXCVU_ses-20180102-sample-1_slice-20180102-slice-1_cell-20180102-sample-1_icephys,sub-mouse-HXCVU_ses-20180102-sample-1_slice-20180102-slice-1_cell-20180102-sample-1_icephys.nwb
20180102_sample_2,HXCVU-2,sub-mouse-HXCVU_ses-20180102-sample-2_slice-20180102-slice-2_cell-20180102-sample-2_icephys,sub-mouse-HXCVU_ses-20180102-sample-2_slice-20180102-slice-2_cell-20180102-sample-2_icephys.nwb
20180102_sample_3,HXCVU-3,sub-mouse-HXCVU_ses-20180102-sample-3_slice-20180102-slice-3_cell-20180102-sample-3_icephys,sub-mouse-HXCVU_ses-20180102-sample-3_slice-20180102-slice-3_cell-20180102-sample-3_icephys.nwb
20180102_sample_4,HXCVU-4,sub-mouse-HXCVU_ses-20180102-sample-4_slice-20180102-slice-4_cell-20180102-sample-4_icephys,sub-mouse-HXCVU_ses-20180102-sample-4_slice-20180102-slice-4_cell-20180102-sample-4_icephys.nwb
20180102_sample_5,HXCVU-5,sub-mouse-HXCVU_ses-20180102-sample-5_slice-20180102-slice-5_cell-20180102-sample-5_icephys,sub-mouse-HXCVU_ses-20180102-sample-5_slice-20180102-slice-5_cell-20180102-sample-5_icephys.nwb
20180103_sample_1,BXLFB-1,sub-mouse-BXLFB_ses-20180103-sample-1_slice-20180103-slice-1_cell-20180103-sample-1_icephys,sub-mouse-BXLFB_ses-20180103-sample-1_slice-20180103-slice-1_cell-20180103-sample-1_icephys.nwb
20180103_sample_2,BXLFB-2,sub-mouse-BXLFB_ses-20180103-sample-2_slice-20180103-slice-2_cell-20180103-sample-2_icephys,sub-mouse-BXLFB_ses-20180103-sample-2_slice-20180103-slice-2_cell-20180103-sample-2_icephys.nwb
20180103_sample_3,BXLFB-3,sub-mouse-BXLFB_ses-20180103-sample-3_slice-20180103-slice-3_cell-20180103-sample-3_icephys,sub-mouse-BXLFB_ses-20180103-sample-3_slice-20180103-slice-3_cell-20180103-sample-3_icephys.nwb
20180103_sample_4,BXLFB-4,sub-mouse-BXLFB_ses-20180103-sample-4_slice-20180103-slice-4_cell-20180103-sample-4_icephys,sub-mouse-BXLFB_ses-20180103-sample-4_slice-20180103-slice-4_cell-20180103-sample-4_icephys.nwb
20180103_sample_5,BXLFB-5,sub-mouse-BXLFB_ses-20180103-sample-5_slice-20180103-slice-5_cell-20180103-sample-5_icephys,sub-mouse-BXLFB_ses-20180103-sample-5_slice-20180103-slice-5_cell-20180103-sample-5_icephys.nwb
20180103_sample_6,BXLFB-6,sub-mouse-BXLFB_ses-20180103-sample-6_slice-20180103-slice-6_cell-20180103-sample-6_icephys,sub-mouse-BXLFB_ses-20180103-sample-6_slice-20180103-slice-6_cell-20180103-sample-6_icephys.nwb
20180103_sample_7,BXLFB-7,sub-mouse-BXLFB_ses-20180103-sample-7_slice-20180103-slice-7_cell-20180103-sample-7_icephys,sub-mouse-BXLFB_ses-20180103-sample-7_slice-20180103-slice-7_cell-20180103-sample-7_icephys.nwb
20180103_sample_8,BXLFB-8,sub-mouse-BXLFB_ses-20180103-sample-8_slice-20180103-slice-8_cell-20180103-sample-8_icephys,sub-mouse-BXLFB_ses-20180103-sample-8_slice-20180103-slice-8_cell-20180103-sample-8_icephys.nwb
20180104_sample_1,UALZV-1,sub-mouse-UALZV_ses-20180104-sample-1_slice-20180104-slice-1_cell-20180104-sample-1_icephys,sub-mouse-UALZV_ses-20180104-sample-1_slice-20180104-slice-1_cell-20180104-sample-1_icephys.nwb
20180104_sample_2,UALZV-2,sub-mouse-UALZV_ses-20180104-sample-2_slice-20180104-slice-2_cell-20180104-sample-2_icephys,sub-mouse-UALZV_ses-20180104-sample-2_slice-20180104-slice-2_cell-20180104-sample-2_icephys.nwb
20180104_sample_3,UALZV-3,sub-mouse-UALZV_ses-20180104-sample-3_slice-20180104-slice-3_cell-20180104-sample-3_icephys,sub-mouse-UALZV_ses-20180104-sample-3_slice-20180104-slice-3_cell-20180104-sample-3_icephys.nwb
20180104_sample_4,UALZV-4,sub-mouse-UALZV_ses-20180104-sample-4_slice-20180104-slice-4_cell-20180104-sample-4_icephys,sub-mouse-UALZV_ses-20180104-sample-4_slice-20180104-slice-4_cell-20180104-sample-4_icephys.nwb
20180104_sample_6,UALZV-6,sub-mouse-UALZV_ses-20180104-sample-6_slice-20180104-slice-6_cell-20180104-sample-6_icephys,sub-mouse-UALZV_ses-20180104-sample-6_slice-20180104-slice-6_cell-20180104-sample-6_icephys.nwb
20180105_sample_4,LYQJP-4,sub-mouse-LYQJP_ses-20180105-sample-4_slice-20180105-slice-4_cell-20180105-sample-4_icephys,sub-mouse-LYQJP_ses-20180105-sample-4_slice-20180105-slice-4_cell-20180105-sample-4_icephys.nwb
20180105_sample_5,LYQJP-5,sub-mouse-LYQJP_ses-20180105-sample-5_slice-20180105-slice-5_cell-20180105-sample-5_icephys,sub-mouse-LYQJP_ses-20180105-sample-5_slice-20180105-slice-5_cell-20180105-sample-5_icephys.nwb
20180105_sample_6,LYQJP-6,sub-mouse-LYQJP_ses-20180105-sample-6_slice-20180105-slice-6_cell-20180105-sample-6_icephys,sub-mouse-LYQJP_ses-20180105-sample-6_slice-20180105-slice-6_cell-20180105-sample-6_icephys.nwb
20180108_sample_1,OOSLW-1,sub-mouse-OOSLW_ses-20180108-sample-1_slice-20180108-slice-1_cell-20180108-sample-1_icephys,sub-mouse-OOSLW_ses-20180108-sample-1_slice-20180108-slice-1_cell-20180108-sample-1_icephys.nwb
20180108_sample_10,OOSLW-10,sub-mouse-OOSLW_ses-20180108-sample-10_slice-20180108-slice-10_cell-20180108-sample-10_icephys,sub-mouse-OOSLW_ses-20180108-sample-10_slice-20180108-slice-10_cell-20180108-sample-10_icephys.nwb
20180108_sample_2,OOSLW-2,sub-mouse-OOSLW_ses-20180108-sample-2_slice-20180108-slice-2_cell-20180108-sample-2_icephys,sub-mouse-OOSLW_ses-20180108-sample-2_slice-20180108-slice-2_cell-20180108-sample-2_icephys.nwb
20180108_sample_3,OOSLW-3,sub-mouse-OOSLW_ses-20180108-sample-3_slice-20180108-slice-3_cell-20180108-sample-3_icephys,sub-mouse-OOSLW_ses-20180108-sample-3_slice-20180108-slice-3_cell-20180108-sample-3_icephys.nwb
20180108_sample_4,OOSLW-4,sub-mouse-OOSLW_ses-20180108-sample-4_slice-20180108-slice-4_cell-20180108-sample-4_icephys,sub-mouse-OOSLW_ses-20180108-sample-4_slice-20180108-slice-4_cell-20180108-sample-4_icephys.nwb
20180108_sample_5,OOSLW-5,sub-mouse-OOSLW_ses-20180108-sample-5_slice-20180108-slice-5_cell-20180108-sample-5_icephys,sub-mouse-OOSLW_ses-20180108-sample-5_slice-20180108-slice-5_cell-20180108-sample-5_icephys.nwb
20180108_sample_7,OOSLW-7,sub-mouse-OOSLW_ses-20180108-sample-7_slice-20180108-slice-7_cell-20180108-sample-7_icephys,sub-mouse-OOSLW_ses-20180108-sample-7_slice-20180108-slice-7_cell-20180108-sample-7_icephys.nwb
20180108_sample_8,OOSLW-8,sub-mouse-OOSLW_ses-20180108-sample-8_slice-20180108-slice-8_cell-20180108-sample-8_icephys,sub-mouse-OOSLW_ses-20180108-sample-8_slice-20180108-slice-8_cell-20180108-sample-8_icephys.nwb
20180108_sample_9,OOSLW-9,sub-mouse-OOSLW_ses-20180108-sample-9_slice-20180108-slice-9_cell-20180108-sample-9_icephys,sub-mouse-OOSLW_ses-20180108-sample-9_slice-20180108-slice-9_cell-20180108-sample-9_icephys.nwb
20180109_sample_1,TYCES-1,sub-mouse-TYCES_ses-20180109-sample-1_slice-20180109-slice-1_cell-20180109-sample-1_icephys,sub-mouse-TYCES_ses-20180109-sample-1_slice-20180109-slice-1_cell-20180109-sample-1_icephys.nwb
20180109_sample_2,TYCES-2,sub-mouse-TYCES_ses-20180109-sample-2_slice-20180109-slice-2_cell-20180109-sample-2_icephys,sub-mouse-TYCES_ses-20180109-sample-2_slice-20180109-slice-2_cell-20180109-sample-2_icephys.nwb
20180109_sample_5,TYCES-5,sub-mouse-TYCES_ses-20180109-sample-5_slice-20180109-slice-5_cell-20180109-sample-5_icephys,sub-mouse-TYCES_ses-20180109-sample-5_slice-20180109-slice-5_cell-20180109-sample-5_icephys.nwb
20180110_sample_1,GUIGR-1,sub-mouse-GUIGR_ses-20180110-sample-1_slice-20180110-slice-1_cell-20180110-sample-1_icephys,sub-mouse-GUIGR_ses-20180110-sample-1_slice-20180110-slice-1_cell-20180110-sample-1_icephys.nwb
20180110_sample_2,GUIGR-2,sub-mouse-GUIGR_ses-20180110-sample-2_slice-20180110-slice-2_cell-20180110-sample-2_icephys,sub-mouse-GUIGR_ses-20180110-sample-2_slice-20180110-slice-2_cell-20180110-sample-2_icephys.nwb
20180110_sample_3,GUIGR-3,sub-mouse-GUIGR_ses-20180110-sample-3_slice-20180110-slice-3_cell-20180110-sample-3_icephys,sub-mouse-GUIGR_ses-20180110-sample-3_slice-20180110-slice-3_cell-20180110-sample-3_icephys.nwb
20180110_sample_4,GUIGR-4,sub-mouse-GUIGR_ses-20180110-sample-4_slice-20180110-slice-4_cell-20180110-sample-4_icephys,sub-mouse-GUIGR_ses-20180110-sample-4_slice-20180110-slice-4_cell-20180110-sample-4_icephys.nwb
20180110_sample_5,GUIGR-5,sub-mouse-GUIGR_ses-20180110-sample-5_slice-20180110-slice-5_cell-20180110-sample-5_icephys,sub-mouse-GUIGR_ses-20180110-sample-5_slice-20180110-slice-5_cell-20180110-sample-5_icephys.nwb
20180110_sample_7,GUIGR-7,sub-mouse-GUIGR_ses-20180110-sample-7_slice-20180110-slice-7_cell-20180110-sample-7_icephys,sub-mouse-GUIGR_ses-20180110-sample-7_slice-20180110-slice-7_cell-20180110-sample-7_icephys.nwb
20180110_sample_8,GUIGR-8,sub-mouse-GUIGR_ses-20180110-sample-8_slice-20180110-slice-8_cell-20180110-sample-8_icephys,sub-mouse-GUIGR_ses-20180110-sample-8_slice-20180110-slice-8_cell-20180110-sample-8_icephys.nwb
20180111_sample_5,DYNRZ-5,sub-mouse-DYNRZ_ses-20180111-sample-5_slice-20180111-slice-5_cell-20180111-sample-5_icephys,sub-mouse-DYNRZ_ses-20180111-sample-5_slice-20180111-slice-5_cell-20180111-sample-5_icephys.nwb
20180115_sample_2,IZUBT-2,sub-mouse-IZUBT_ses-20180115-sample-2_slice-20180115-slice-2_cell-20180115-sample-2_icephys,sub-mouse-IZUBT_ses-20180115-sample-2_slice-20180115-slice-2_cell-20180115-sample-2_icephys.nwb
20180115_sample_5,IZUBT-5,sub-mouse-IZUBT_ses-20180115-sample-5_slice-20180115-slice-5_cell-20180115-sample-5_icephys,sub-mouse-IZUBT_ses-20180115-sample-5_slice-20180115-slice-5_cell-20180115-sample-5_icephys.nwb
20180115_sample_6,IZUBT-6,sub-mouse-IZUBT_ses-20180115-sample-6_slice-20180115-slice-6_cell-20180115-sample-6_icephys,sub-mouse-IZUBT_ses-20180115-sample-6_slice-20180115-slice-6_cell-20180115-sample-6_icephys.nwb
20180115_sample_7,IZUBT-7,sub-mouse-IZUBT_ses-20180115-sample-7_slice-20180115-slice-7_cell-20180115-sample-7_icephys,sub-mouse-IZUBT_ses-20180115-sample-7_slice-20180115-slice-7_cell-20180115-sample-7_icephys.nwb
20180115_sample_8,IZUBT-8,sub-mouse-IZUBT_ses-20180115-sample-8_slice-20180115-slice-8_cell-20180115-sample-8_icephys,sub-mouse-IZUBT_ses-20180115-sample-8_slice-20180115-slice-8_cell-20180115-sample-8_icephys.nwb
20180115_sample_9,IZUBT-9,sub-mouse-IZUBT_ses-20180115-sample-9_slice-20180115-slice-9_cell-20180115-sample-9_icephys,sub-mouse-IZUBT_ses-20180115-sample-9_slice-20180115-slice-9_cell-20180115-sample-9_icephys.nwb
20180118_sample_1,OGLHO-1,sub-mouse-OGLHO_ses-20180118-sample-1_slice-20180118-slice-1_cell-20180118-sample-1_icephys,sub-mouse-OGLHO_ses-20180118-sample-1_slice-20180118-slice-1_cell-20180118-sample-1_icephys.nwb
20180118_sample_10,OGLHO-10,sub-mouse-OGLHO_ses-20180118-sample-10_slice-20180118-slice-10_cell-20180118-sample-10_icephys,sub-mouse-OGLHO_ses-20180118-sample-10_slice-20180118-slice-10_cell-20180118-sample-10_icephys.nwb
20180118_sample_2,OGLHO-2,sub-mouse-OGLHO_ses-20180118-sample-2_slice-20180118-slice-2_cell-20180118-sample-2_icephys,sub-mouse-OGLHO_ses-20180118-sample-2_slice-20180118-slice-2_cell-20180118-sample-2_icephys.nwb
20180118_sample_4,OGLHO-4,sub-mouse-OGLHO_ses-20180118-sample-4_slice-20180118-slice-4_cell-20180118-sample-4_icephys,sub-mouse-OGLHO_ses-20180118-sample-4_slice-20180118-slice-4_cell-20180118-sample-4_icephys.nwb
20180118_sample_6,OGLHO-6,sub-mouse-OGLHO_ses-20180118-sample-6_slice-20180118-slice-6_cell-20180118-sample-6_icephys,sub-mouse-OGLHO_ses-20180118-sample-6_slice-20180118-slice-6_cell-20180118-sample-6_icephys.nwb
20180118_sample_7,OGLHO-7,sub-mouse-OGLHO_ses-20180118-sample-7_slice-20180118-slice-7_cell-20180118-sample-7_icephys,sub-mouse-OGLHO_ses-20180118-sample-7_slice-20180118-slice-7_cell-20180118-sample-7_icephys.nwb
20180123_sample_1,CNQDR-1,sub-mouse-CNQDR_ses-20180123-sample-1_slice-20180123-slice-1_cell-20180123-sample-1_icephys,sub-mouse-CNQDR_ses-20180123-sample-1_slice-20180123-slice-1_cell-20180123-sample-1_icephys.nwb
20180123_sample_3,CNQDR-3,sub-mouse-CNQDR_ses-20180123-sample-3_slice-20180123-slice-3_cell-20180123-sample-3_icephys,sub-mouse-CNQDR_ses-20180123-sample-3_slice-20180123-slice-3_cell-20180123-sample-3_icephys.nwb
20180123_sample_5,CNQDR-5,sub-mouse-CNQDR_ses-20180123-sample-5_slice-20180123-slice-5_cell-20180123-sample-5_icephys,sub-mouse-CNQDR_ses-20180123-sample-5_slice-20180123-slice-5_cell-20180123-sample-5_icephys.nwb
20180123_sample_6,CNQDR-6,sub-mouse-CNQDR_ses-20180123-sample-6_slice-20180123-slice-6_cell-20180123-sample-6_icephys,sub-mouse-CNQDR_ses-20180123-sample-6_slice-20180123-slice-6_cell-20180123-sample-6_icephys.nwb
20180123_sample_7,CNQDR-7,sub-mouse-CNQDR_ses-20180123-sample-7_slice-20180123-slice-7_cell-20180123-sample-7_icephys,sub-mouse-CNQDR_ses-20180123-sample-7_slice-20180123-slice-7_cell-20180123-sample-7_icephys.nwb
20180208_sample_1,HDBFV-1,sub-mouse-HDBFV_ses-20180208-sample-1_slice-20180208-slice-1_cell-20180208-sample-1_icephys,sub-mouse-HDBFV_ses-20180208-sample-1_slice-20180208-slice-1_cell-20180208-sample-1_icephys.nwb
20180208_sample_2,HDBFV-2,sub-mouse-HDBFV_ses-20180208-sample-2_slice-20180208-slice-2_cell-20180208-sample-2_icephys,sub-mouse-HDBFV_ses-20180208-sample-2_slice-20180208-slice-2_cell-20180208-sample-2_icephys.nwb
20180208_sample_3,HDBFV-3,sub-mouse-HDBFV_ses-20180208-sample-3_slice-20180208-slice-3_cell-20180208-sample-3_icephys,sub-mouse-HDBFV_ses-20180208-sample-3_slice-20180208-slice-3_cell-20180208-sample-3_icephys.nwb
20180208_sample_4,HDBFV-4,sub-mouse-HDBFV_ses-20180208-sample-4_slice-20180208-slice-4_cell-20180208-sample-4_icephys,sub-mouse-HDBFV_ses-20180208-sample-4_slice-20180208-slice-4_cell-20180208-sample-4_icephys.nwb
20180208_sample_5,HDBFV-5,sub-mouse-HDBFV_ses-20180208-sample-5_slice-20180208-slice-5_cell-20180208-sample-5_icephys,sub-mouse-HDBFV_ses-20180208-sample-5_slice-20180208-slice-5_cell-20180208-sample-5_icephys.nwb
20180213_sample_3,JDVRZ-3,sub-mouse-JDVRZ_ses-20180213-sample-3_slice-20180213-slice-3_cell-20180213-sample-3_icephys,sub-mouse-JDVRZ_ses-20180213-sample-3_slice-20180213-slice-3_cell-20180213-sample-3_icephys.nwb
20180213_sample_5,JDVRZ-5,sub-mouse-JDVRZ_ses-20180213-sample-5_slice-20180213-slice-5_cell-20180213-sample-5_icephys,sub-mouse-JDVRZ_ses-20180213-sample-5_slice-20180213-slice-5_cell-20180213-sample-5_icephys.nwb
20180215_sample_1,LBJDN-1,sub-mouse-LBJDN_ses-20180215-sample-1_slice-20180215-slice-1_cell-20180215-sample-1_icephys,sub-mouse-LBJDN_ses-20180215-sample-1_slice-20180215-slice-1_cell-20180215-sample-1_icephys.nwb
20180220_sample_1,POHNW-1,sub-mouse-POHNW_ses-20180220-sample-1_slice-20180220-slice-1_cell-20180220-sample-1_icephys,sub-mouse-POHNW_ses-20180220-sample-1_slice-20180220-slice-1_cell-20180220-sample-1_icephys.nwb
20180220_sample_2,POHNW-2,sub-mouse-POHNW_ses-20180220-sample-2_slice-20180220-slice-2_cell-20180220-sample-2_icephys,sub-mouse-POHNW_ses-20180220-sample-2_slice-20180220-slice-2_cell-20180220-sample-2_icephys.nwb
20180225_sample_1,YHUPM-1,sub-mouse-YHUPM_ses-20180225-sample-1_slice-20180225-slice-1_cell-20180225-sample-1_icephys,sub-mouse-YHUPM_ses-20180225-sample-1_slice-20180225-slice-1_cell-20180225-sample-1_icephys.nwb
20180225_sample_2,YHUPM-2,sub-mouse-YHUPM_ses-20180225-sample-2_slice-20180225-slice-2_cell-20180225-sample-2_icephys,sub-mouse-YHUPM_ses-20180225-sample-2_slice-20180225-slice-2_cell-20180225-sample-2_icephys.nwb
20180225_sample_3,YHUPM-3,sub-mouse-YHUPM_ses-20180225-sample-3_slice-20180225-slice-3_cell-20180225-sample-3_icephys,sub-mouse-YHUPM_ses-20180225-sample-3_slice-20180225-slice-3_cell-20180225-sample-3_icephys.nwb
20180225_sample_4,YHUPM-4,sub-mouse-YHUPM_ses-20180225-sample-4_slice-20180225-slice-4_cell-20180225-sample-4_icephys,sub-mouse-YHUPM_ses-20180225-sample-4_slice-20180225-slice-4_cell-20180225-sample-4_icephys.nwb
20180225_sample_5,YHUPM-5,sub-mouse-YHUPM_ses-20180225-sample-5_slice-20180225-slice-5_cell-20180225-sample-5_icephys,sub-mouse-YHUPM_ses-20180225-sample-5_slice-20180225-slice-5_cell-20180225-sample-5_icephys.nwb
20180225_sample_7,YHUPM-7,sub-mouse-YHUPM_ses-20180225-sample-7_slice-20180225-slice-7_cell-20180225-sample-7_icephys,sub-mouse-YHUPM_ses-20180225-sample-7_slice-20180225-slice-7_cell-20180225-sample-7_icephys.nwb
20180228_sample_3,ROUXZ-3,sub-mouse-ROUXZ_ses-20180228-sample-3_slice-20180228-slice-3_cell-20180228-sample-3_icephys,sub-mouse-ROUXZ_ses-20180228-sample-3_slice-20180228-slice-3_cell-20180228-sample-3_icephys.nwb
20180306_sample_1,YMIOM-1,sub-mouse-YMIOM_ses-20180306-sample-1_slice-20180306-slice-1_cell-20180306-sample-1_icephys,sub-mouse-YMIOM_ses-20180306-sample-1_slice-20180306-slice-1_cell-20180306-sample-1_icephys.nwb
20180306_sample_2,YMIOM-2,sub-mouse-YMIOM_ses-20180306-sample-2_slice-20180306-slice-2_cell-20180306-sample-2_icephys,sub-mouse-YMIOM_ses-20180306-sample-2_slice-20180306-slice-2_cell-20180306-sample-2_icephys.nwb
20180306_sample_3,YMIOM-3,sub-mouse-YMIOM_ses-20180306-sample-3_slice-20180306-slice-3_cell-20180306-sample-3_icephys,sub-mouse-YMIOM_ses-20180306-sample-3_slice-20180306-slice-3_cell-20180306-sample-3_icephys.nwb
20180306_sample_5,YMIOM-5,sub-mouse-YMIOM_ses-20180306-sample-5_slice-20180306-slice-5_cell-20180306-sample-5_icephys,sub-mouse-YMIOM_ses-20180306-sample-5_slice-20180306-slice-5_cell-20180306-sample-5_icephys.nwb
20180309_sample_4,AYGIX-4,sub-mouse-AYGIX_ses-20180309-sample-4_slice-20180309-slice-4_cell-20180309-sample-4_icephys,sub-mouse-AYGIX_ses-20180309-sample-4_slice-20180309-slice-4_cell-20180309-sample-4_icephys.nwb
20180309_sample_6,AYGIX-6,sub-mouse-AYGIX_ses-20180309-sample-6_slice-20180309-slice-6_cell-20180309-sample-6_icephys,sub-mouse-AYGIX_ses-20180309-sample-6_slice-20180309-slice-6_cell-20180309-sample-6_icephys.nwb
20180309_sample_7,AYGIX-7,sub-mouse-AYGIX_ses-20180309-sample-7_slice-20180309-slice-7_cell-20180309-sample-7_icephys,sub-mouse-AYGIX_ses-20180309-sample-7_slice-20180309-slice-7_cell-20180309-sample-7_icephys.nwb
20180309_sample_8,AYGIX-8,sub-mouse-AYGIX_ses-20180309-sample-8_slice-20180309-slice-8_cell-20180309-sample-8_icephys,sub-mouse-AYGIX_ses-20180309-sample-8_slice-20180309-slice-8_cell-20180309-sample-8_icephys.nwb
20180313_sample_1,ALHXK-1,sub-mouse-ALHXK_ses-20180313-sample-1_slice-20180313-slice-1_cell-20180313-sample-1_icephys,sub-mouse-ALHXK_ses-20180313-sample-1_slice-20180313-slice-1_cell-20180313-sample-1_icephys.nwb
20180313_sample_2,ALHXK-2,sub-mouse-ALHXK_ses-20180313-sample-2_slice-20180313-slice-2_cell-20180313-sample-2_icephys,sub-mouse-ALHXK_ses-20180313-sample-2_slice-20180313-slice-2_cell-20180313-sample-2_icephys.nwb
20180313_sample_3,ALHXK-3,sub-mouse-ALHXK_ses-20180313-sample-3_slice-20180313-slice-3_cell-20180313-sample-3_icephys,sub-mouse-ALHXK_ses-20180313-sample-3_slice-20180313-slice-3_cell-20180313-sample-3_icephys.nwb
20180313_sample_7,SQHCC-7,sub-mouse-SQHCC_ses-20180313-sample-7_slice-20180313-slice-7_cell-20180313-sample-7_icephys,sub-mouse-SQHCC_ses-20180313-sample-7_slice-20180313-slice-7_cell-20180313-sample-7_icephys.nwb
20180313_sample_8,SQHCC-8,sub-mouse-SQHCC_ses-20180313-sample-8_slice-20180313-slice-8_cell-20180313-sample-8_icephys,sub-mouse-SQHCC_ses-20180313-sample-8_slice-20180313-slice-8_cell-20180313-sample-8_icephys.nwb
20180313_sample_9,SQHCC-9,sub-mouse-SQHCC_ses-20180313-sample-9_slice-20180313-slice-9_cell-20180313-sample-9_icephys,sub-mouse-SQHCC_ses-20180313-sample-9_slice-20180313-slice-9_cell-20180313-sample-9_icephys.nwb
20180315_sample_1,AEJGZ-1,sub-mouse-AEJGZ_ses-20180315-sample-1_slice-20180315-slice-1_cell-20180315-sample-1_icephys,sub-mouse-AEJGZ_ses-20180315-sample-1_slice-20180315-slice-1_cell-20180315-sample-1_icephys.nwb
20180315_sample_2,AEJGZ-2,sub-mouse-AEJGZ_ses-20180315-sample-2_slice-20180315-slice-2_cell-20180315-sample-2_icephys,sub-mouse-AEJGZ_ses-20180315-sample-2_slice-20180315-slice-2_cell-20180315-sample-2_icephys.nwb
20180315_sample_5,AEJGZ-5,sub-mouse-AEJGZ_ses-20180315-sample-5_slice-20180315-slice-5_cell-20180315-sample-5_icephys,sub-mouse-AEJGZ_ses-20180315-sample-5_slice-20180315-slice-5_cell-20180315-sample-5_icephys.nwb
20180315_sample_6,AEJGZ-6,sub-mouse-AEJGZ_ses-20180315-sample-6_slice-20180315-slice-6_cell-20180315-sample-6_icephys,sub-mouse-AEJGZ_ses-20180315-sample-6_slice-20180315-slice-6_cell-20180315-sample-6_icephys.nwb
20180321_sample_2,IGIHL-2,sub-mouse-IGIHL_ses-20180321-sample-2_slice-20180321-slice-2_cell-20180321-sample-2_icephys,sub-mouse-IGIHL_ses-20180321-sample-2_slice-20180321-slice-2_cell-20180321-sample-2_icephys.nwb
20180321_sample_3,IGIHL-3,sub-mouse-IGIHL_ses-20180321-sample-3_slice-20180321-slice-3_cell-20180321-sample-3_icephys,sub-mouse-IGIHL_ses-20180321-sample-3_slice-20180321-slice-3_cell-20180321-sample-3_icephys.nwb
