sample_id,cell_id,cell_name,nwb_file_name
20180817_sample_3,APLSV-3,sub-mouse-APLSV_ses-20180817-sample-3_slice-20180817-slice-3_cell-20180817-sample-3_icephys,sub-mouse-APLSV_ses-20180817-sample-3_slice-20180817-slice-3_cell-20180817-sample-3_icephys.nwb
20180817_sample_4,APLSV-4,sub-mouse-APLSV_ses-20180817-sample-4_slice-20180817-slice-4_cell-20180817-sample-4_icephys,sub-mouse-APLSV_ses-20180817-sample-4_slice-20180817-slice-4_cell-20180817-sample-4_icephys.nwb
20180817_sample_5,APLSV-5,sub-mouse-APLSV_ses-20180817-sample-5_slice-20180817-slice-5_cell-20180817-sample-5_icephys,sub-mouse-APLSV_ses-20180817-sample-5_slice-20180817-slice-5_cell-20180817-sample-5_icephys.nwb
20180817_sample_6,APLSV-6,sub-mouse-APLSV_ses-20180817-sample-6_slice-20180817-slice-6_cell-20180817-sample-6_icephys,sub-mouse-APLSV_ses-20180817-sample-6_slice-20180817-slice-6_cell-20180817-sample-6_icephys.nwb
20180817_sample_7,APLSV-7,sub-mouse-APLSV_ses-20180817-sample-7_slice-20180817-slice-7_cell-20180817-sample-7_icephys,sub-mouse-APLSV_ses-20180817-sample-7_slice-20180817-slice-7_cell-20180817-sample-7_icephys.nwb
20180820_sample_1,WVNFF-1,sub-mouse-WVNFF_ses-20180820-sample-1_slice-20180820-slice-1_cell-20180820-sample-1_icephys,sub-mouse-WVNFF_ses-20180820-sample-1_slice-20180820-slice-1_cell-20180820-sample-1_icephys.nwb
20180820_sample_2,WVNFF-2,sub-mouse-WVNFF_ses-20180820-sample-2_slice-20180820-slice-2_cell-20180820-sample-2_icephys,sub-mouse-WVNFF_ses-20180820-sample-2_slice-20180820-slice-2_cell-20180820-sample-2_icephys.nwb
20180820_sample_3,WVNFF-3,sub-mouse-WVNFF_ses-20180820-sample-3_slice-20180820-slice-3_cell-20180820-sample-3_icephys,sub-mouse-WVNFF_ses-20180820-sample-3_slice-20180820-slice-3_cell-20180820-sample-3_icephys.nwb
20180820_sample_4,WVNFF-4,sub-mouse-WVNFF_ses-20180820-sample-4_slice-20180820-slice-4_cell-20180820-sample-4_icephys,sub-mouse-WVNFF_ses-20180820-sample-4_slice-20180820-slice-4_cell-20180820-sample-4_icephys.nwb
20180820_sample_5,WVNFF-5,sub-mouse-WVNFF_ses-20180820-sample-5_slice-20180820-slice-5_cell-20180820-sample-5_icephys,sub-mouse-WVNFF_ses-20180820-sample-5_slice-20180820-slice-5_cell-20180820-sample-5_icephys.nwb
20180820_sample_6,WVNFF-6,sub-mouse-WVNFF_ses-20180820-sample-6_slice-20180820-slice-6_cell-20180820-sample-6_icephys,sub-mouse-WVNFF_ses-20180820-sample-6_slice-20180820-slice-6_cell-20180820-sample-6_icephys.nwb
20180820_sample_7,WVNFF-7,sub-mouse-WVNFF_ses-20180820-sample-7_slice-20180820-slice-7_cell-20180820-sample-7_icephys,sub-mouse-WVNFF_ses-20180820-sample-7_slice-20180820-slice-7_cell-20180820-sample-7_icephys.nwb
